article_title,curr_url,words_considered,words_considered_scores,winner_word,winner_score

London,https://en.wikipedia.org/wiki/London,"['largest city', 'england', 'united kingdom', 'river thames', 'estuary', 'north sea', 'city of london', 'financial centre', 'romans', 'londinium', 'city of westminster', 'government', 'parliament', 'metropolis', 'counties', 'middlesex', 'essex', 'surrey', 'kent', 'hertfordshire']","[0.2191506768223863, 0.17998600684203306, 0.16001467434977215, 0.1630569703086242, None, 0.1747192752445751, 0.2500432254899164, 0.28142369859726246, 0.17420395165032349, 0.24034394104686282, 0.2655279949136118, 0.28528856057581653, 0.18359870602892742, 0.1768110537195659, 0.08416630551185693, 0.10857668605348346, 0.10049538137777689, 0.1289981186657249, 0.11272993140687983, None]",government,0.28528856057581653

Government of the United Kingdom,https://en.wikipedia.org/wiki/Government_of_the_United_Kingdom,"['central executive authority', 'united kingdom of great britain and northern ireland', 'prime minister', 'ministers', 'conservative', '2010', 'leader of the conservative party', 'cabinet', 'ministers of the crown', 'responsible', 'house', 'house of commons', 'house of lords', 'dependent on parliament', 'primary legislation', 'general elections', 'monarch', 'dissolve parliament']","[0.2511320834520165, 0.20341036348665484, 0.2148620840059114, 0.2717412825737989, 0.17422307035303544, 0.09874096498840013, 0.24703668120525846, 0.33640201018597626, 0.30453181589788975, 0.21715796185940656, 0.15001537166918807, 0.1801152080535598, 0.18485990721152198, 0.2159012152250293, 0.24911564713413586, 0.14691945450819416, 0.2104648806315125, 0.20834657869284065]",cabinet,0.33640201018597626

Cabinet of the United Kingdom,https://en.wikipedia.org/wiki/Cabinet_of_the_United_Kingdom,"[""his majesty's government"", 'privy council', 'prime minister', 'secretaries of state', 'ministers', 'ministerial code', 'privy council', 'cabinet', 'oed', 'francis bacon', 'essays', 'charles i']","[0.2841901699901417, 0.24320637683084778, 0.20257914193093265, 0.23797875701531682, 0.27133621589368856, 0.28576363247304065, 0.24320637683084778, 0.3249297364802028, 0.14967787693888873, 0.21773745625726, 0.2959824201561092, 0.191111658214076]",cabinet,0.3249297364802028

Cabinet (room),https://en.wikipedia.org/wiki/Cabinet_(room),"['room', 'houses', 'palaces', 'early modern europe', 'study', 'italian renaissance', 'late medieval', 'solar', 'oratory', 'boudoir', 'humanist avocation', 'quattrocento', 'studiolo of francesco i', 'palazzo vecchio']","[0.19670963989189946, 0.21123531305446705, 0.2100662081833249, 0.18019247453524578, 0.35049435378960525, 0.1615823613220703, 0.15667711201054246, 0.2230597692515261, None, 0.15181181859384915, 0.37583978154690134, None, 0.2275215614591677, 0.18530421242424572]",humanist avocation,0.37583978154690134

Renaissance humanism,https://en.wikipedia.org/wiki/Renaissance_humanism,"['classical antiquity', 'in italy', 'western europe', 'humanities', 'studia humanitatis', 'grammar', 'rhetoric', 'history', 'poetry', 'moral philosophy', 'retronym', 'renaissance', 'ad fontes', 'whig historians', 'scholasticism', 'citizenry', 'civic life', 'virtuous', 'prudent', 'florence']","[0.32429592855913797, 0.3164476921655187, 0.288338132931693, 0.4807482392659276, 0.3703958785800549, 0.40534559009431925, 0.48652812034263426, 0.41773439992021105, 0.3479005268708587, 0.5786913271231711, None, 0.38217913774869866, 0.18794977024137746, 0.27545528940530917, 0.4345281388930297, 0.2536879633183765, 0.3410979416098086, None, None, 0.23408358596483742]",moral philosophy,0.5786913271231711

Ethics,https://en.wikipedia.org/wiki/Moral_philosophy,"['philosophy', 'concepts', 'right', 'behavior', 'aesthetics', 'value', 'axiology', 'morality', 'good and evil', 'wrong', 'virtue', 'vice', 'justice', 'crime', 'intellectual', 'moral psychology', 'descriptive ethics', 'value theory']","[0.6561460309127838, 0.338397170740494, None, None, 0.540164898395992, 0.3555751272378458, None, None, 0.2850123425981746, None, None, None, None, None, 0.35815173994369054, 0.46614135572582105, 0.520349210006702, 0.3555751272378458]",philosophy,0.6561460309127838

