start_article_title,starter_article_url,selection_strat,hops_to_phil

Brian S. Miller,https://en.wikipedia.org/wiki/Brian_S._Miller,WORDNET,9

Brian S. Miller,https://en.wikipedia.org/wiki/Brian_S._Miller,NTH_LINK(1),18

Brian S. Miller,https://en.wikipedia.org/wiki/Brian_S._Miller,EMBEDDING_WORD2VEC,11

Bleu Horses,https://en.wikipedia.org/wiki/Bleu_Horses,WORDNET,9

Bleu Horses,https://en.wikipedia.org/wiki/Bleu_Horses,NTH_LINK(1),17

Bleu Horses,https://en.wikipedia.org/wiki/Bleu_Horses,EMBEDDING_WORD2VEC,8

Mphiwa Dlamini,https://en.wikipedia.org/wiki/Mphiwa_Dlamini,WORDNET,9

Mphiwa Dlamini,https://en.wikipedia.org/wiki/Mphiwa_Dlamini,NTH_LINK(1),23

Mphiwa Dlamini,https://en.wikipedia.org/wiki/Mphiwa_Dlamini,EMBEDDING_WORD2VEC,7

Woldemeskel Kostre,https://en.wikipedia.org/wiki/Woldemeskel_Kostre,WORDNET,7

Woldemeskel Kostre,https://en.wikipedia.org/wiki/Woldemeskel_Kostre,NTH_LINK(1),21

Woldemeskel Kostre,https://en.wikipedia.org/wiki/Woldemeskel_Kostre,EMBEDDING_WORD2VEC,11

George W. F. McMechen,https://en.wikipedia.org/wiki/George_W._F._McMechen,WORDNET,10

George W. F. McMechen,https://en.wikipedia.org/wiki/George_W._F._McMechen,NTH_LINK(1),22

George W. F. McMechen,https://en.wikipedia.org/wiki/George_W._F._McMechen,EMBEDDING_WORD2VEC,8

Mishima: A Life in Four Chapters,https://en.wikipedia.org/wiki/Mishima:_A_Life_in_Four_Chapters,WORDNET,5

Mishima: A Life in Four Chapters,https://en.wikipedia.org/wiki/Mishima:_A_Life_in_Four_Chapters,NTH_LINK(1),10

Mishima: A Life in Four Chapters,https://en.wikipedia.org/wiki/Mishima:_A_Life_in_Four_Chapters,EMBEDDING_WORD2VEC,3

Blue Stahli (album),https://en.wikipedia.org/wiki/Blue_Stahli_(album),WORDNET,10

Blue Stahli (album),https://en.wikipedia.org/wiki/Blue_Stahli_(album),NTH_LINK(1),20

Blue Stahli (album),https://en.wikipedia.org/wiki/Blue_Stahli_(album),EMBEDDING_WORD2VEC,10

Libra oil field,https://en.wikipedia.org/wiki/Libra_oil_field,WORDNET,5

Libra oil field,https://en.wikipedia.org/wiki/Libra_oil_field,NTH_LINK(1),23

