start_article_title,starter_article_url,selection_strat,hops_to_phil

Bill Moore (pitcher),https://en.wikipedia.org/wiki/Bill_Moore_(pitcher),EMBEDDING_WORD2VEC,8

Manuel Silva (basketball),https://en.wikipedia.org/wiki/Manuel_Silva_(basketball),WORDNET,6

Jeanne d'Ussel,https://en.wikipedia.org/wiki/Jeanne_d%27Ussel,EMBEDDING_WORD2VEC,6

Various Artists – Archives Vol. 4,https://en.wikipedia.org/wiki/Various_Artists_%E2%80%93_Archives_Vol._4,WORDNET,12

Marcus Aurelius Marius,https://en.wikipedia.org/wiki/Marcus_Aurelius_Marius,WORDNET,5

"List of ships built by Hall, Russell & Company (301-400)","https://en.wikipedia.org/wiki/List_of_ships_built_by_Hall,_Russell_%26_Company_(301-400)",EMBEDDING_WORD2VEC,8

Rohan Du Plooy,https://en.wikipedia.org/wiki/Rohan_Du_Plooy,NTH_LINK(1),10

Azuero Peninsula,https://en.wikipedia.org/wiki/Azuero_Peninsula,EMBEDDING_WORD2VEC,7

Menands Manor,https://en.wikipedia.org/wiki/Menands_Manor,NTH_LINK(1),13

Marsha Hanen,https://en.wikipedia.org/wiki/Marsha_Hanen,WORDNET,7

Marsha Hanen,https://en.wikipedia.org/wiki/Marsha_Hanen,NTH_LINK(1),18

Marsha Hanen,https://en.wikipedia.org/wiki/Marsha_Hanen,EMBEDDING_WORD2VEC,7

Ted G. Stone,https://en.wikipedia.org/wiki/Ted_G._Stone,WORDNET,9

Kounkoubguin,https://en.wikipedia.org/wiki/Kounkoubguin,EMBEDDING_WORD2VEC,6

"Joseph City, Arizona","https://en.wikipedia.org/wiki/Joseph_City,_Arizona",EMBEDDING_WORD2VEC,7

"San Pietro, Reggio Emilia","https://en.wikipedia.org/wiki/San_Pietro,_Reggio_Emilia",EMBEDDING_WORD2VEC,4

Nelson Falls,https://en.wikipedia.org/wiki/Nelson_Falls,WORDNET,3

Nelson Falls,https://en.wikipedia.org/wiki/Nelson_Falls,EMBEDDING_WORD2VEC,3

SANDU v Minister of Defence,https://en.wikipedia.org/wiki/SANDU_v_Minister_of_Defence,EMBEDDING_WORD2VEC,7

Jeremy Moses,https://en.wikipedia.org/wiki/Jeremy_Moses,WORDNET,9

To the Power of Eight,https://en.wikipedia.org/wiki/To_the_Power_of_Eight,EMBEDDING_WORD2VEC,11

Uniform Gifts to Minors Act,https://en.wikipedia.org/wiki/Uniform_Gifts_to_Minors_Act,EMBEDDING_WORD2VEC,5

